id,pred
54273,24028.63476090665
54274,15271.366481517543
54275,25270.693005558856
54276,54899.04565824739
54277,28286.4163854992
54278,76972.21300786211
54279,43751.558884820115
54280,27790.191141337662
54281,14855.827131349988
54282,50011.58091623901
54283,34387.01329982218
54284,13594.82711793405
54285,37047.29621376996
54286,31900.536717702613
54287,37614.76445054401
54288,73200.9092650839
54289,56162.45955862009
54290,27872.83588017176
54291,15918.242579746497
54292,70092.39858299524
54293,42167.75325056618
54294,11593.424046764016
54295,37408.4088143738
54296,52740.71168578269
54297,14351.594655588364
54298,12796.694944000265
54299,18415.599061837092
54300,16218.056489532813
54301,60401.927404168964
54302,44210.18346269865
54303,58112.07365745893
54304,39769.48870529213
54305,51262.941413972534
54306,29766.76670562476
54307,23867.806086654437
54308,9683.377970571652
54309,20861.52713389818
54310,18055.148613859074
54311,50615.66771161307
54312,13814.446573580219
54313,18965.640328183417
54314,50121.44250014962
54315,77598.19875789474
54316,17398.50696401368
54317,35108.3665660912
54318,54287.59517824988
54319,11423.605810468427
54320,62990.69539545272
54321,37301.40208474732
54322,11596.454179826835
54323,30549.828677790963
54324,60553.68700426602
54325,66791.95584963352
54326,19253.011606014363
54327,50618.97743040488
54328,14811.710782789527
54329,37535.66268879273
54330,14633.664934079796
54331,50866.788290046024
54332,14055.084858790467
54333,59927.39278169323
54334,38259.453967775815
54335,27229.24898611934
54336,17056.266215628708
54337,14233.451021480376
54338,56753.92643339035
54339,41782.732501932405
54340,12536.602970825481
54341,86241.24516481442
54342,44626.87206862639
54343,19653.16413263366
54344,102025.01628361794
54345,11411.015073865885
54346,50766.81626602192
54347,12804.416820540227
54348,25662.57882340331
54349,22286.240161796646
54350,78448.77190417516
54351,21833.975091543354
54352,39875.80620203148
54353,53883.9561829923
54354,31204.984370760973
54355,11925.045093942526
54356,52675.54408894006
54357,44183.08241543607
54358,48692.7603232815
54359,11341.888349028484
54360,36284.972800755735
54361,60758.46143535887
54362,87010.24880631428
54363,69955.41226296805
54364,13690.362459949754
54365,21232.686843891206
54366,58113.56886862831
54367,21050.542360889332
